Integration_Event_ID,Employee_ID,Resource,Requested_On,Status,Fulfilled_On
INT-60001,EMP7000,Laptop,2026-08-04,Blocked,
INT-60002,EMP7000,Email,2026-07-13,Requested,
INT-60003,EMP7000,Badge,2026-07-09,Fulfilled,2026-07-10
INT-60004,EMP7000,VPN,2026-07-20,Fulfilled,2026-07-06
INT-60005,EMP7000,System Access,2026-07-13,Blocked,
INT-60006,EMP7001,Laptop,2026-07-13,Requested,
INT-60007,EMP7001,Email,2026-07-31,Fulfilled,2026-07-09
INT-60008,EMP7001,Badge,2026-08-07,Fulfilled,2026-07-05
INT-60009,EMP7001,VPN,2026-07-13,Requested,
INT-60010,EMP7001,System Access,2026-08-04,Fulfilled,2026-07-06
INT-60011,EMP7002,Laptop,2026-07-06,Fulfilled,2026-07-02
INT-60012,EMP7002,Email,2026-07-07,Fulfilled,2026-07-07
INT-60013,EMP7002,Badge,2026-08-09,Blocked,
INT-60014,EMP7002,VPN,2026-07-23,Fulfilled,2026-07-05
INT-60015,EMP7002,System Access,2026-07-17,Fulfilled,2026-07-12
INT-60016,EMP7003,Laptop,2026-08-03,Fulfilled,2026-07-15
INT-60017,EMP7003,Email,2026-08-05,Requested,
INT-60018,EMP7003,Badge,2026-07-28,Requested,
INT-60019,EMP7003,VPN,2026-07-19,Fulfilled,2026-06-30
INT-60020,EMP7003,System Access,2026-07-27,Fulfilled,2026-06-30
INT-60021,EMP7004,Laptop,2026-08-01,Fulfilled,2026-07-12
INT-60022,EMP7004,Email,2026-07-22,Requested,
INT-60023,EMP7004,Badge,2026-08-04,Fulfilled,2026-07-14
INT-60024,EMP7004,VPN,2026-07-16,Fulfilled,2026-07-03
INT-60025,EMP7004,System Access,2026-07-07,Fulfilled,2026-07-01
INT-60026,EMP7005,Laptop,2026-07-14,Fulfilled,2026-07-15
INT-60027,EMP7005,Email,2026-07-25,Fulfilled,2026-07-06
INT-60028,EMP7005,Badge,2026-08-05,Fulfilled,2026-07-15
INT-60029,EMP7005,VPN,2026-07-20,Fulfilled,2026-07-12
INT-60030,EMP7005,System Access,2026-07-25,Fulfilled,2026-07-05
INT-60031,EMP7006,Laptop,2026-07-05,Fulfilled,2026-06-30
INT-60032,EMP7006,Email,2026-07-05,Fulfilled,2026-07-14
INT-60033,EMP7006,Badge,2026-07-22,Fulfilled,2026-07-02
INT-60034,EMP7006,VPN,2026-07-11,Requested,
INT-60035,EMP7006,System Access,2026-07-31,Fulfilled,2026-07-05
INT-60036,EMP7007,Laptop,2026-08-06,Fulfilled,2026-07-08
INT-60037,EMP7007,Email,2026-07-25,Fulfilled,2026-07-09
INT-60038,EMP7007,Badge,2026-08-05,Requested,
INT-60039,EMP7007,VPN,2026-07-28,Requested,
INT-60040,EMP7007,System Access,2026-08-05,Fulfilled,2026-07-03
INT-60041,EMP7008,Laptop,2026-07-10,Fulfilled,2026-07-06
INT-60042,EMP7008,Email,2026-08-06,Fulfilled,2026-07-14
INT-60043,EMP7008,Badge,2026-07-19,Fulfilled,2026-07-12
INT-60044,EMP7008,VPN,2026-07-15,Fulfilled,2026-07-03
